PDF#00-005-0628(RDB):质标=星印(S);d=(未知);I=衍射仪
Halite, syn(Sodium Chloride)
Na Cl	Colorless
射线=CuKa1	波长=1.5405	滤波法=Ni
校准=	2θ=27.335-142.238	I/Ic(K值)=4.4
文献: Swanson, Fuyat.
Natl. Bur. Stand. (U.S.), Circ. 539, vII p41(1953)
立方晶系-粉末衍射,Fm-3m(225)	Z=4
晶胞: 5.6402x5.6402x5.6402 <90.0x90.0x90.0>	P.S=cF8.00
密度(计算)=2.163	密度(测量)=2.168	分子量=58.44	体积=179.43	F(17)=91.9(0.0109,17/0)
文献: 出处同上

强峰线: 2.82/X 1.99/6 1.63/2 3.26/1 1.26/1 1.15/1 1.41/1
Additional Patterns: See PDF 01-072-1668.
Color: Colorless.
General Comments: An ACS reagent grade sample recrystallized twice from hydrochloric acid.
Melting Point: 1077 K.
Temperature of Data Collection: Pattern taken at 299 K.
Unit Cell Data Source: Powder Diffraction.

    2θ   d(埃)   I(f)  ( h k l)      θ  1/(2d)   2π/d  n^2  
 27.335  3.2600   13.0  ( 1 1 1)  13.667  0.1534  1.9274    3
 31.693  2.8210  100.0  ( 2 0 0)  15.846  0.1772  2.2273    4
 45.450  1.9940   55.0  ( 2 2 0)  22.725  0.2508  3.1510    8
 53.853  1.7010    2.0  ( 3 1 1)  26.927  0.2939  3.6938   11
 56.478  1.6280   15.0  ( 2 2 2)  28.239  0.3071  3.8595   12
 66.228  1.4100    6.0  ( 4 0 0)  33.114  0.3546  4.4562   16
 73.065  1.2940    1.0  ( 3 3 1)  36.533  0.3864  4.8556   19
 75.303  1.2610   11.0  ( 4 2 0)  37.652  0.3965  4.9827   20
 83.972  1.1515    7.0  ( 4 2 2)  41.986  0.4342  5.4565   24
 90.408  1.0855    1.0  ( 5 1 1)  45.204  0.4606  5.7883   27
101.192  0.9969    2.0  ( 4 4 0)  50.596  0.5016  6.3027   32
107.808  0.9533    1.0  ( 5 3 1)  53.904  0.5245  6.5910   35
110.045  0.9401    3.0  ( 6 0 0)  55.022  0.5319  6.6835   36
119.503  0.8917    4.0  ( 6 2 0)  59.752  0.5607  7.0463   40
127.168  0.8601    1.0  ( 5 3 3)  63.584  0.5813  7.3052   43
129.892  0.8503    3.0  ( 6 2 2)  64.946  0.5880  7.3894   44
142.238  0.8141    2.0  ( 4 4 4)  71.119  0.6142  7.7180   48
